year,station,NO2_max,NO2_min,NO2_mean,NO2_sum
2013,Aotizhongxin,228.0,2.0,63.39023057273096,465537.85332613613
2014,Aotizhongxin,285.0,2.0,63.74208693795449,558380.6815764813
2015,Aotizhongxin,290.0,2.0,60.93735026438371,533811.1883160013
2016,Aotizhongxin,218.0,2.0,48.72588806928264,428008.2008005787
2017,Aotizhongxin,217.0,2.0,66.21596810066566,93761.81083054258
2013,Changping,199.0,1.8477,41.25146378094609,302950.7500072681
2014,Changping,195.0,2.0,45.55761131510752,399084.6751203419
2015,Changping,199.0,2.0,42.79928448349337,374921.73207540193
2016,Changping,226.0,2.0,45.54892506236909,400101.7577478501
2017,Changping,203.0,2.0,50.94755034082758,72141.73128261186
2013,Dingling,190.3131,1.0265,29.89044781421807,219515.4487476175
2014,Dingling,174.0,2.0,27.362325315558117,239693.9697642891
2015,Dingling,186.0,2.0,26.881813167156967,235484.68334429502
2016,Dingling,205.0,2.0,25.48603562734619,223869.33695060894
2017,Dingling,190.0,2.0,34.38797137575548,48693.36746806976
2013,Dongsi,258.0,2.0,57.21834142738515,420211.49944271654
2014,Dongsi,236.0,2.0,52.35969058920813,458670.8895614632
2015,Dongsi,256.0,4.0,50.14021306014156,439228.26640684006
2016,Dongsi,210.0,2.0,50.25439355204145,441434.5929611321
2017,Dongsi,192.0,2.0,57.60136892766842,81563.53840157848
2013,Guanyuan,270.0,2.0,58.27418768734532,427965.634375864
2014,Guanyuan,230.0,2.0,63.72739118317862,558251.9467646447
2015,Guanyuan,239.0,2.0,54.95751612516764,481427.84125646856
2016,Guanyuan,225.0,2.0,53.57274779356926,470583.0166187124
2017,Guanyuan,207.0,2.0,64.99629534114655,92034.75420306351
2013,Gucheng,240.0,2.0,61.356659051017694,450603.30407067394
2014,Gucheng,224.0,2.0,62.03259162261055,543405.5026140684
2015,Gucheng,216.0,2.0,49.9021433009264,437142.77531611524
2016,Gucheng,229.0,2.0,50.026416745742715,439432.044694604
2017,Gucheng,276.0,2.0,62.48569595583682,88479.74547346494
2013,Huairou,231.0,1.0265,36.01418073169046,264488.14329353475
2014,Huairou,219.0,2.0,37.24004515909741,326222.7955936933
2015,Huairou,162.0,2.0,28.474908194228885,249440.195781445
2016,Huairou,189.0,2.0,27.809709793773408,244280.4908285056
2017,Huairou,174.0,2.0,38.878500002417084,55051.95600342259
2013,Nongzhanguan,273.0,2.0,59.624705833775124,437883.8396432445
2014,Nongzhanguan,234.0,2.0,61.95808357644363,542752.8121296462
2015,Nongzhanguan,265.0,3.0,58.50667790856301,512518.498479012
2016,Nongzhanguan,206.0,2.0,52.51467069390636,461288.8673752735
2017,Nongzhanguan,194.0,2.0,58.386465370699426,82675.23496491039
2013,Shunyi,204.0,2.0,41.643163300447036,305827.39127848303
2014,Shunyi,204.0,2.0,45.53029753462056,398845.4064032761
2015,Shunyi,238.0,2.0,43.22641272094168,378663.3754354491
2016,Shunyi,195.0,2.0,43.00199635059139,377729.53594359476
2017,Shunyi,258.0,2.0,55.4765000750915,78554.72410632957
2013,Tiantan,230.0,2.0,53.32406760692489,391611.9525052564
2014,Tiantan,192.0,2.0,55.61653299398656,487200.82902732224
2015,Tiantan,218.0,3.0,51.93462692481087,454947.33186134323
2016,Tiantan,238.0,2.0,50.08300889855861,439929.1501649388
2017,Tiantan,241.0,2.0,63.845862180933764,90405.74084820221
2013,Wanliu,212.0,1.6424,68.53646151060973,503331.7733339178
2014,Wanliu,264.0,4.0,75.0461173654688,657403.9881215068
2015,Wanliu,225.0,2.0,58.87570717599608,515751.1948617256
2016,Wanliu,253.0,2.0,58.515265240090315,513998.08986895334
2017,Wanliu,249.0,2.0,69.03187897475426,97749.14062825205
2013,Wanshouxigong,241.0,2.0,56.12667211763586,412194.2800319178
2014,Wanshouxigong,218.0,2.0,61.239727909567144,536460.0164878082
2015,Wanshouxigong,211.0,2.0,52.797669371864636,462507.5836975342
2016,Wanshouxigong,235.0,2.0,50.62046904164171,444650.2000617808
2017,Wanshouxigong,251.0,2.0,64.46074601994815,91276.41636424657
